net,base_length_grid,base_metric_length_grid,base_bends,base_metric_bends,target_metric_bends,target_full_bends,final_length_grid,final_metric_length_grid,final_bends,final_metric_bends,status,operators
0,143,143,11,11,11,11,143,143,11,11,ok,
1,143,143,7,7,11,11,143,143,11,11,ok,"monotonic_staircase_insert+4@(0, 2)"
2,143,143,7,7,11,11,143,143,11,11,ok,"monotonic_staircase_insert+4@(0, 2)"
3,143,143,7,7,11,11,143,143,11,11,ok,"monotonic_staircase_insert+4@(0, 2)"
4,143,143,7,7,11,11,143,143,11,11,ok,"monotonic_staircase_insert+4@(0, 2)"
5,143,143,7,7,11,11,143,143,11,11,ok,"monotonic_staircase_insert+4@(0, 2)"
6,143,143,1,1,11,11,143,143,11,11,ok,"monotonic_staircase_insert+10@(0, 2)"
7,143,143,11,11,11,11,143,143,11,11,ok,
8,143,143,7,7,11,11,143,143,11,11,ok,"monotonic_staircase_insert+4@(0, 2)"
9,143,143,7,7,11,11,143,143,11,11,ok,"monotonic_staircase_insert+4@(0, 2)"
10,143,143,7,7,11,11,143,143,11,11,ok,"monotonic_staircase_insert+4@(0, 2)"
11,143,143,7,7,11,11,143,143,11,11,ok,"monotonic_staircase_insert+4@(0, 2)"
12,143,143,7,7,11,11,143,143,11,11,ok,"monotonic_staircase_insert+4@(0, 2)"
13,143,143,1,1,11,11,143,143,11,11,ok,"monotonic_staircase_insert+10@(0, 2)"
