net,base_length_grid,base_metric_length_grid,target_length_grid,requested_delta_grid,final_length_grid,final_metric_length_grid,status,u_bend_start_idx
0,143,143,143,0,143,143,already_at_or_above_target,
1,143,143,143,0,143,143,already_at_or_above_target,
2,143,143,143,0,143,143,already_at_or_above_target,
3,143,143,143,0,143,143,already_at_or_above_target,
4,143,143,143,0,143,143,already_at_or_above_target,
5,143,143,143,0,143,143,already_at_or_above_target,
6,143,143,143,0,143,143,already_at_or_above_target,
7,143,143,143,0,143,143,already_at_or_above_target,
8,143,143,143,0,143,143,already_at_or_above_target,
9,143,143,143,0,143,143,already_at_or_above_target,
10,143,143,143,0,143,143,already_at_or_above_target,
11,143,143,143,0,143,143,already_at_or_above_target,
12,143,143,143,0,143,143,already_at_or_above_target,
13,143,143,143,0,143,143,already_at_or_above_target,
