stage,net,start,end,measured_start,measured_end,geometry_length_grid,external_length_grid,length_grid,target_length_grid,target_length_error_grid,bend_count,crossing_count,path_loss,bend_loss,crossing_loss,total_loss
matching_astar,0,"(0, 40)","(7, 0)","(0, 40)","(7, 0)",47,0,47,143,-96,1,0,0.0705,0.03,0.0,0.1005
matching_astar,1,"(0, 46)","(17, 0)","(0, 46)","(17, 0)",63,0,63,143,-80,1,0,0.0945,0.03,0.0,0.1245
matching_astar,2,"(0, 52)","(27, 0)","(0, 52)","(27, 0)",79,0,79,143,-64,1,0,0.1185,0.03,0.0,0.1485
matching_astar,3,"(0, 58)","(37, 0)","(0, 58)","(37, 0)",95,0,95,143,-48,1,0,0.1425,0.03,0.0,0.1725
matching_astar,4,"(0, 64)","(47, 0)","(0, 64)","(47, 0)",111,0,111,143,-32,1,0,0.1665,0.03,0.0,0.1965
matching_astar,5,"(0, 70)","(57, 0)","(0, 70)","(57, 0)",127,0,127,143,-16,1,0,0.1905,0.03,0.0,0.2205
matching_astar,6,"(0, 76)","(67, 0)","(0, 76)","(67, 0)",143,0,143,143,0,1,0,0.2145,0.03,0.0,0.2445
matching_astar,7,"(0, 82)","(67, 158)","(0, 82)","(67, 158)",143,0,143,143,0,1,0,0.2145,0.03,0.0,0.2445
matching_astar,8,"(0, 88)","(57, 158)","(0, 88)","(57, 158)",127,0,127,143,-16,1,0,0.1905,0.03,0.0,0.2205
matching_astar,9,"(0, 94)","(47, 158)","(0, 94)","(47, 158)",111,0,111,143,-32,1,0,0.1665,0.03,0.0,0.1965
matching_astar,10,"(0, 100)","(37, 158)","(0, 100)","(37, 158)",95,0,95,143,-48,1,0,0.1425,0.03,0.0,0.1725
matching_astar,11,"(0, 106)","(27, 158)","(0, 106)","(27, 158)",79,0,79,143,-64,1,0,0.1185,0.03,0.0,0.1485
matching_astar,12,"(0, 112)","(17, 158)","(0, 112)","(17, 158)",63,0,63,143,-80,1,0,0.0945,0.03,0.0,0.1245
matching_astar,13,"(0, 118)","(7, 158)","(0, 118)","(7, 158)",47,0,47,143,-96,1,0,0.0705,0.03,0.0,0.1005
matching_detour,0,"(0, 40)","(7, 0)","(0, 40)","(7, 0)",143,0,143,143,0,11,0,0.2145,0.33,0.0,0.5445
matching_detour,1,"(0, 46)","(17, 0)","(0, 46)","(17, 0)",143,0,143,143,0,7,0,0.2145,0.21,0.0,0.4245
matching_detour,2,"(0, 52)","(27, 0)","(0, 52)","(27, 0)",143,0,143,143,0,7,0,0.2145,0.21,0.0,0.4245
matching_detour,3,"(0, 58)","(37, 0)","(0, 58)","(37, 0)",143,0,143,143,0,7,0,0.2145,0.21,0.0,0.4245
matching_detour,4,"(0, 64)","(47, 0)","(0, 64)","(47, 0)",143,0,143,143,0,7,0,0.2145,0.21,0.0,0.4245
matching_detour,5,"(0, 70)","(57, 0)","(0, 70)","(57, 0)",143,0,143,143,0,7,0,0.2145,0.21,0.0,0.4245
matching_detour,6,"(0, 76)","(67, 0)","(0, 76)","(67, 0)",143,0,143,143,0,1,0,0.2145,0.03,0.0,0.2445
matching_detour,7,"(0, 82)","(67, 158)","(0, 82)","(67, 158)",143,0,143,143,0,1,0,0.2145,0.03,0.0,0.2445
matching_detour,8,"(0, 88)","(57, 158)","(0, 88)","(57, 158)",143,0,143,143,0,7,0,0.2145,0.21,0.0,0.4245
matching_detour,9,"(0, 94)","(47, 158)","(0, 94)","(47, 158)",143,0,143,143,0,7,0,0.2145,0.21,0.0,0.4245
matching_detour,10,"(0, 100)","(37, 158)","(0, 100)","(37, 158)",143,0,143,143,0,7,0,0.2145,0.21,0.0,0.4245
matching_detour,11,"(0, 106)","(27, 158)","(0, 106)","(27, 158)",143,0,143,143,0,7,0,0.2145,0.21,0.0,0.4245
matching_detour,12,"(0, 112)","(17, 158)","(0, 112)","(17, 158)",143,0,143,143,0,7,0,0.2145,0.21,0.0,0.4245
matching_detour,13,"(0, 118)","(7, 158)","(0, 118)","(7, 158)",143,0,143,143,0,11,0,0.2145,0.33,0.0,0.5445
matching_lut,0,"(0, 40)","(7, 0)","(0, 40)","(7, 0)",143,0,143,143,0,11,0,0.2145,0.33,0.0,0.5445
matching_lut,1,"(0, 46)","(17, 0)","(0, 46)","(17, 0)",143,0,143,143,0,7,0,0.2145,0.21,0.0,0.4245
