stage,net,start,end,measured_start,measured_end,geometry_length_grid,external_length_grid,length_grid,target_length_grid,target_length_error_grid,bend_count,crossing_count,path_loss,bend_loss,crossing_loss,total_loss
matching_astar,0,"(-2, 40)","(7, 0)","(-2, 40)","(7, 0)",49,0,49,95,-46,1,0,0.0735,0.03,0.0,0.1035
matching_astar,1,"(-2, 46)","(15, 0)","(-2, 46)","(15, 0)",63,0,63,95,-32,1,0,0.0945,0.03,0.0,0.1245
matching_astar,2,"(-2, 52)","(27, 0)","(-2, 52)","(27, 0)",81,0,81,95,-14,1,0,0.1215,0.03,0.0,0.1515
matching_astar,3,"(-2, 58)","(35, 0)","(-2, 58)","(35, 0)",95,0,95,95,0,1,0,0.1425,0.03,0.0,0.1725
matching_astar,4,"(-2, 64)","(35, 122)","(-2, 64)","(35, 122)",95,0,95,95,0,1,0,0.1425,0.03,0.0,0.1725
matching_astar,5,"(-2, 70)","(27, 122)","(-2, 70)","(27, 122)",81,0,81,95,-14,1,0,0.1215,0.03,0.0,0.1515
matching_astar,6,"(-2, 76)","(15, 122)","(-2, 76)","(15, 122)",63,0,63,95,-32,1,0,0.0945,0.03,0.0,0.1245
matching_astar,7,"(-2, 82)","(7, 122)","(-2, 82)","(7, 122)",49,0,49,95,-46,1,0,0.0735,0.03,0.0,0.1035
matching_detour,0,"(-2, 40)","(7, 0)","(-2, 40)","(7, 0)",95,0,95,95,0,7,0,0.1425,0.21,0.0,0.3525
matching_detour,1,"(-2, 46)","(15, 0)","(-2, 46)","(15, 0)",95,0,95,95,0,7,0,0.1425,0.21,0.0,0.3525
matching_detour,2,"(-2, 52)","(27, 0)","(-2, 52)","(27, 0)",95,0,95,95,0,7,0,0.1425,0.21,0.0,0.3525
matching_detour,3,"(-2, 58)","(35, 0)","(-2, 58)","(35, 0)",95,0,95,95,0,1,0,0.1425,0.03,0.0,0.1725
matching_detour,4,"(-2, 64)","(35, 122)","(-2, 64)","(35, 122)",95,0,95,95,0,1,0,0.1425,0.03,0.0,0.1725
matching_detour,5,"(-2, 70)","(27, 122)","(-2, 70)","(27, 122)",95,0,95,95,0,7,0,0.1425,0.21,0.0,0.3525
matching_detour,6,"(-2, 76)","(15, 122)","(-2, 76)","(15, 122)",95,0,95,95,0,7,0,0.1425,0.21,0.0,0.3525
matching_detour,7,"(-2, 82)","(7, 122)","(-2, 82)","(7, 122)",95,0,95,95,0,7,0,0.1425,0.21,0.0,0.3525
matching_lut,0,"(-2, 40)","(7, 0)","(-2, 40)","(7, 0)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_lut,1,"(-2, 46)","(15, 0)","(-2, 46)","(15, 0)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_lut,2,"(-2, 52)","(27, 0)","(-2, 52)","(27, 0)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_lut,3,"(-2, 58)","(35, 0)","(-2, 58)","(35, 0)",95,0,95,95,0,1,0,0.1425,0.03,0.0,0.1725
matching_lut,4,"(-2, 64)","(35, 122)","(-2, 64)","(35, 122)",95,0,95,95,0,1,0,0.1425,0.03,0.0,0.1725
matching_lut,5,"(-2, 70)","(27, 122)","(-2, 70)","(27, 122)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_lut,6,"(-2, 76)","(15, 122)","(-2, 76)","(15, 122)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_lut,7,"(-2, 82)","(7, 122)","(-2, 82)","(7, 122)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_final,0,"(-2, 40)","(7, 0)","(-2, 40)","(7, 0)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_final,1,"(-2, 46)","(15, 0)","(-2, 46)","(15, 0)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_final,2,"(-2, 52)","(27, 0)","(-2, 52)","(27, 0)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_final,3,"(-2, 58)","(35, 0)","(-2, 58)","(35, 0)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_final,4,"(-2, 64)","(35, 122)","(-2, 64)","(35, 122)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_final,5,"(-2, 70)","(27, 122)","(-2, 70)","(27, 122)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_final,6,"(-2, 76)","(15, 122)","(-2, 76)","(15, 122)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
matching_final,7,"(-2, 82)","(7, 122)","(-2, 82)","(7, 122)",95,0,95,95,0,5,0,0.1425,0.15,0.0,0.2925
