stage,net,start,end,measured_start,measured_end,geometry_length_grid,external_length_grid,length_grid,target_length_grid,target_length_error_grid,bend_count,crossing_count,path_loss,bend_loss,crossing_loss,total_loss
matching_astar,0,"(100, 306)","(241, 449)","(100, 306)","(241, 449)",284,0,284,286,-2,1,0,0.426,0.03,0.0,0.456
matching_astar,1,"(125, 306)","(168, 446)","(125, 306)","(168, 446)",183,0,183,286,-103,1,0,0.2745,0.03,0.0,0.3045
matching_astar,2,"(150, 306)","(168, 443)","(150, 306)","(168, 443)",155,0,155,286,-131,1,0,0.2325,0.03,0.0,0.2625
matching_astar,3,"(176, 306)","(168, 440)","(176, 306)","(168, 440)",150,0,150,286,-136,3,0,0.225,0.09,0.0,0.315
matching_astar,4,"(201, 306)","(168, 436)","(201, 306)","(168, 436)",169,0,169,286,-117,3,0,0.2535,0.09,0.0,0.3435
matching_astar,5,"(226, 306)","(168, 433)","(226, 306)","(168, 433)",189,0,189,286,-97,3,0,0.2835,0.09,0.0,0.3735
matching_astar,6,"(252, 306)","(168, 430)","(252, 306)","(168, 430)",210,0,210,286,-76,3,0,0.315,0.09,0.0,0.405
matching_astar,7,"(277, 306)","(241, 427)","(277, 306)","(241, 427)",159,0,159,286,-127,3,0,0.2385,0.09,0.0,0.3285
matching_detour,0,"(100, 306)","(241, 449)","(100, 306)","(241, 449)",286,0,286,286,0,5,0,0.429,0.15,0.0,0.579
matching_detour,1,"(125, 306)","(168, 446)","(125, 306)","(168, 446)",285,0,285,286,-1,7,0,0.4275,0.21,0.0,0.6375
matching_detour,2,"(150, 306)","(168, 443)","(150, 306)","(168, 443)",285,0,285,286,-1,7,0,0.4275,0.21,0.0,0.6375
matching_detour,3,"(176, 306)","(168, 440)","(176, 306)","(168, 440)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
matching_detour,4,"(201, 306)","(168, 436)","(201, 306)","(168, 436)",285,0,285,286,-1,9,0,0.4275,0.27,0.0,0.6975
matching_detour,5,"(226, 306)","(168, 433)","(226, 306)","(168, 433)",285,0,285,286,-1,9,0,0.4275,0.27,0.0,0.6975
matching_detour,6,"(252, 306)","(168, 430)","(252, 306)","(168, 430)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
matching_detour,7,"(277, 306)","(241, 427)","(277, 306)","(241, 427)",285,0,285,286,-1,9,0,0.4275,0.27,0.0,0.6975
matching_lut,0,"(100, 306)","(241, 449)","(100, 306)","(241, 449)",286,0,286,286,0,5,0,0.429,0.15,0.0,0.579
matching_lut,1,"(125, 306)","(168, 446)","(125, 306)","(168, 446)",285,0,285,286,-1,7,0,0.4275,0.21,0.0,0.6375
matching_lut,2,"(150, 306)","(168, 443)","(150, 306)","(168, 443)",285,0,285,286,-1,7,0,0.4275,0.21,0.0,0.6375
matching_lut,3,"(176, 306)","(168, 440)","(176, 306)","(168, 440)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
matching_lut,4,"(201, 306)","(168, 436)","(201, 306)","(168, 436)",285,0,285,286,-1,9,0,0.4275,0.27,0.0,0.6975
matching_lut,5,"(226, 306)","(168, 433)","(226, 306)","(168, 433)",285,0,285,286,-1,9,0,0.4275,0.27,0.0,0.6975
matching_lut,6,"(252, 306)","(168, 430)","(252, 306)","(168, 430)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
matching_lut,7,"(277, 306)","(241, 427)","(277, 306)","(241, 427)",285,0,285,286,-1,9,0,0.4275,0.27,0.0,0.6975
matching_final,0,"(100, 306)","(241, 449)","(100, 306)","(241, 449)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
matching_final,1,"(125, 306)","(168, 446)","(125, 306)","(168, 446)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
matching_final,2,"(150, 306)","(168, 443)","(150, 306)","(168, 443)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
matching_final,3,"(176, 306)","(168, 440)","(176, 306)","(168, 440)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
matching_final,4,"(201, 306)","(168, 436)","(201, 306)","(168, 436)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
matching_final,5,"(226, 306)","(168, 433)","(226, 306)","(168, 433)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
matching_final,6,"(252, 306)","(168, 430)","(252, 306)","(168, 430)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
matching_final,7,"(277, 306)","(241, 427)","(277, 306)","(241, 427)",286,0,286,286,0,9,0,0.429,0.27,0.0,0.699
