stage,net,start,end,measured_start,measured_end,geometry_length_grid,external_length_grid,length_grid,target_length_grid,target_length_error_grid,bend_count,crossing_count,path_loss,bend_loss,crossing_loss,total_loss
matching_astar,0,"(0, 0)","(10, 0)","(0, 0)","(10, 0)",10,10,20,26,-6,0,0,0.03,0.0,0.0,0.03
matching_astar,1,"(0, 2)","(10, 2)","(0, 2)","(10, 2)",10,8,18,26,-8,0,0,0.027,0.0,0.0,0.027
matching_astar,2,"(0, 4)","(10, 4)","(0, 4)","(10, 4)",10,8,18,26,-8,0,0,0.027,0.0,0.0,0.027
matching_astar,3,"(0, 6)","(10, 6)","(0, 6)","(10, 6)",10,4,14,26,-12,0,0,0.021,0.0,0.0,0.021
matching_astar,4,"(0, 8)","(10, 8)","(0, 8)","(10, 8)",10,4,14,26,-12,0,0,0.021,0.0,0.0,0.021
matching_astar,5,"(0, 10)","(10, 10)","(0, 10)","(10, 10)",10,0,10,26,-16,0,0,0.015,0.0,0.0,0.015
matching_detour,0,"(0, 0)","(10, 0)","(0, 0)","(10, 0)",16,10,26,26,0,6,0,0.039,0.18,0.0,0.219
matching_detour,1,"(0, 2)","(10, 2)","(0, 2)","(10, 2)",18,8,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_detour,2,"(0, 4)","(10, 4)","(0, 4)","(10, 4)",18,8,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_detour,3,"(0, 6)","(10, 6)","(0, 6)","(10, 6)",22,4,26,26,0,16,0,0.039,0.48,0.0,0.519
matching_detour,4,"(0, 8)","(10, 8)","(0, 8)","(10, 8)",22,4,26,26,0,14,0,0.039,0.42,0.0,0.459
matching_detour,5,"(0, 10)","(10, 10)","(0, 10)","(10, 10)",26,0,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_lut,0,"(0, 0)","(10, 0)","(0, 0)","(10, 0)",16,10,26,26,0,6,0,0.039,0.18,0.0,0.219
matching_lut,1,"(0, 2)","(10, 2)","(0, 2)","(10, 2)",18,8,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_lut,2,"(0, 4)","(10, 4)","(0, 4)","(10, 4)",18,8,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_lut,3,"(0, 6)","(10, 6)","(0, 6)","(10, 6)",22,4,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_lut,4,"(0, 8)","(10, 8)","(0, 8)","(10, 8)",22,4,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_lut,5,"(0, 10)","(10, 10)","(0, 10)","(10, 10)",26,0,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_final,0,"(0, 0)","(10, 0)","(0, 0)","(10, 0)",16,10,26,26,0,8,0,0.039,0.24,0.0,0.279
matching_final,1,"(0, 2)","(10, 2)","(0, 2)","(10, 2)",18,8,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_final,2,"(0, 4)","(10, 4)","(0, 4)","(10, 4)",18,8,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_final,3,"(0, 6)","(10, 6)","(0, 6)","(10, 6)",22,4,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_final,4,"(0, 8)","(10, 8)","(0, 8)","(10, 8)",22,4,26,26,0,10,0,0.039,0.3,0.0,0.339
matching_final,5,"(0, 10)","(10, 10)","(0, 10)","(10, 10)",26,0,26,26,0,10,0,0.039,0.3,0.0,0.339
