net,base_length_grid,base_metric_length_grid,target_length_grid,requested_delta_grid,final_length_grid,final_metric_length_grid,status,u_bend_start_idx
0,152,152,152,0,152,152,already_at_or_above_target,
1,152,152,152,0,152,152,already_at_or_above_target,
2,152,152,152,0,152,152,already_at_or_above_target,
3,152,152,152,0,152,152,already_at_or_above_target,
4,152,152,152,0,152,152,already_at_or_above_target,
5,152,152,152,0,152,152,already_at_or_above_target,
6,152,152,152,0,152,152,already_at_or_above_target,
7,152,152,152,0,152,152,already_at_or_above_target,
8,152,152,152,0,152,152,already_at_or_above_target,
9,152,152,152,0,152,152,already_at_or_above_target,
10,152,152,152,0,152,152,already_at_or_above_target,
11,152,152,152,0,152,152,already_at_or_above_target,
12,152,152,152,0,152,152,already_at_or_above_target,
13,152,152,152,0,152,152,already_at_or_above_target,
14,152,152,152,0,152,152,already_at_or_above_target,
15,152,152,152,0,152,152,already_at_or_above_target,
