stage,net,start,end,measured_start,measured_end,geometry_length_grid,external_length_grid,length_grid,target_length_grid,target_length_error_grid,bend_count,crossing_count,path_loss,bend_loss,crossing_loss,total_loss
matching_astar,0,"(0, 2)","(19, 9)","(0, 2)","(18, 9)",25,0,25,36,-11,2,0,0.0375,0.06,0.0,0.0975
matching_astar,1,"(0, 8)","(15, 13)","(0, 8)","(14, 13)",19,0,19,36,-17,2,0,0.0285,0.06,0.0,0.0885
matching_astar,2,"(0, 20)","(19, 17)","(0, 20)","(18, 17)",21,0,21,36,-15,2,0,0.0315,0.06,0.0,0.0915
matching_astar,3,"(0, 26)","(23, 13)","(0, 26)","(22, 13)",35,0,35,36,-1,2,0,0.0525,0.06,0.0,0.1125
matching_detour,0,"(0, 2)","(19, 9)","(1, 2)","(19, 9)",35,0,35,36,-1,8,0,0.0525,0.24,0.0,0.2925
matching_detour,1,"(0, 8)","(15, 13)","(1, 8)","(15, 13)",35,0,35,36,-1,8,0,0.0525,0.24,0.0,0.2925
matching_detour,2,"(0, 20)","(19, 17)","(1, 20)","(19, 17)",35,0,35,36,-1,8,0,0.0525,0.24,0.0,0.2925
matching_detour,3,"(0, 26)","(23, 13)","(0, 26)","(22, 13)",35,0,35,36,-1,2,0,0.0525,0.06,0.0,0.1125
matching_lut,0,"(0, 2)","(19, 9)","(1, 2)","(19, 9)",35,0,35,36,-1,4,0,0.0525,0.12,0.0,0.1725
matching_lut,1,"(0, 8)","(15, 13)","(1, 8)","(15, 13)",35,0,35,36,-1,4,0,0.0525,0.12,0.0,0.1725
matching_lut,2,"(0, 20)","(19, 17)","(1, 20)","(19, 17)",35,0,35,36,-1,4,0,0.0525,0.12,0.0,0.1725
matching_lut,3,"(0, 26)","(23, 13)","(0, 26)","(22, 13)",35,0,35,36,-1,2,0,0.0525,0.06,0.0,0.1125
matching_final,0,"(0, 2)","(19, 9)","(1, 2)","(19, 9)",35,0,35,36,-1,4,0,0.0525,0.12,0.0,0.1725
matching_final,1,"(0, 8)","(15, 13)","(1, 8)","(15, 13)",35,0,35,36,-1,4,0,0.0525,0.12,0.0,0.1725
matching_final,2,"(0, 20)","(19, 17)","(1, 20)","(19, 17)",35,0,35,36,-1,4,0,0.0525,0.12,0.0,0.1725
matching_final,3,"(0, 26)","(23, 13)","(0, 26)","(22, 13)",35,0,35,36,-1,4,0,0.0525,0.12,0.0,0.1725
