stage,net,start,end,measured_start,measured_end,geometry_length_grid,external_length_grid,length_grid,target_length_grid,target_length_error_grid,bend_count,crossing_count,path_loss,bend_loss,crossing_loss,total_loss
matching_astar,0,"(1, 6)","(25, 0)","(1, 6)","(25, 0)",30,0,30,30,0,2,0,0.045,0.06,0.0,0.105
matching_astar,1,"(1, 10)","(25, 10)","(1, 10)","(25, 10)",24,0,24,30,-6,0,0,0.036,0.0,0.0,0.036
matching_detour,0,"(1, 6)","(25, 0)","(1, 6)","(25, 0)",30,0,30,30,0,2,0,0.045,0.06,0.0,0.105
matching_detour,1,"(1, 10)","(25, 10)","(1, 10)","(25, 10)",30,0,30,30,0,6,0,0.045,0.18,0.0,0.225
matching_lut,0,"(1, 6)","(25, 0)","(1, 6)","(25, 0)",30,0,30,30,0,2,0,0.045,0.06,0.0,0.105
matching_lut,1,"(1, 10)","(25, 10)","(1, 10)","(25, 10)",30,0,30,30,0,6,0,0.045,0.18,0.0,0.225
matching_final,0,"(1, 6)","(25, 0)","(1, 6)","(25, 0)",30,0,30,30,0,6,0,0.045,0.18,0.0,0.225
matching_final,1,"(1, 10)","(25, 10)","(1, 10)","(25, 10)",30,0,30,30,0,6,0,0.045,0.18,0.0,0.225
general_astar,0,"(1, 20)","(32, 3)","(1, 20)","(32, 3)",48,0,48,,,3,0,0.072,0.06,0.0,0.132
general_astar,1,"(1, 3)","(32, 20)","(1, 3)","(32, 20)",54,0,54,,,7,0,0.081,0.16,0.0,0.241
final,0,"(1, 6)","(25, 0)","(1, 6)","(25, 0)",30,0,30,30,0,6,0,0.045,0.18,0.0,0.225
final,1,"(1, 10)","(25, 10)","(1, 10)","(25, 10)",30,0,30,30,0,6,0,0.045,0.18,0.0,0.225
final,2,"(1, 20)","(32, 3)","(1, 20)","(32, 3)",48,0,48,,,3,0,0.072,0.06,0.0,0.132
final,3,"(1, 3)","(32, 20)","(1, 3)","(32, 20)",54,0,54,,,7,0,0.081,0.16,0.0,0.241
